JPL Id,Name,Mass (kg),Density (kg / m3)
MB:10,Sun,1988920000000000000000000000000,1408
MB:199,Mercury,330220000000000000000000,5428
MB:299,Venus,4868500000000000000000000,5243
MB:301,Moon,73477000000000000000000,3348
MB:399,Earth,5973600000000000000000000,5515
MB:401,Phobos Mars I,10701247878785900,1868
MB:402,Deimos Mars II,1480487807897740,1483
MB:499,Mars,641850000000000000000000,3933
MB:501,Io,89319000000000000000000,3528
MB:502,Europa,48000000000000000000000,3013
MB:503,Ganymede,148190000000000000000000,1943
MB:504,Callisto,107593800000000000000000,1834
MB:505,Amalthea Jupiter V,2080161592067670000,853
MB:506,Himalia M Jupiter VI,4190506099879650000,1629
MB:507,Elara Jupiter VII,869895641875636000,2612
MB:508,Pasiphae,300047235591600000,2653
MB:509,Sinope,75993263401331300,2645
MB:510,Lysithea,63002455049980800,2579
MB:511,Carme,130011743506235000,2551
MB:512,Ananke Jupiter XII,38194696554029900,3323
MB:513,Leda Jupiter XIII,10999763240266700,2626
MB:514,Thebe Jupiter XIV,430140361214781000,857
MB:515,Adrastea Jupiter XV,2000083213576770,866
MB:516,Metis Jupiter XVI,36009749723508100,865
MB:517,Callirrhoe Jupiter XVII -,666076295463733,2000
MB:518,Themisto Jupiter XVIII -,690044553369600,2574
MB:519,Megaclite Jupiter XIX,164895917637600,2000
MB:520,Taygete Jupiter XX -,89204477518933,2000
MB:521,Chaldene Jupiter XXI -,57461824878133,2000
MB:522,Harpalyke Jupiter XXII -,89204477518933,2000
MB:523,Kalyke Jupiter XXIII -,147244355453867,2000
MB:524,Iocaste Jupiter XXIV -,147244355453867,2000
MB:525,Erinome Jupiter XXV -,34314569864533,2000
MB:526,Isonoe Jupiter XXVI -,57461824878133,2000
MB:527,Praxidike Jupiter XXVII -,329272425282133,2000
MB:528,Autonoe Jupiter XXVIII -,67020644266667,2000
MB:529,Thyone Jupiter XXIX -,67020644266667,2000
MB:530,Hermippe Jupiter XXX -,67020644266667,2000
MB:531,Aitne Jupiter XXXI -,28274334300000,2000
MB:532,Eurydome Jupiter XXXII -,28274334300000,2000
MB:533,Euanthe Jupiter XXXIII -,28274334300000,2000
MB:534,Euporie Jupiter XXXIV,15000057944933,3581
MB:535,Orthosie Jupiter XXXV,8377580533333,2000
MB:536,Sponde Jupiter XXXVI,8377580533333,2000
MB:537,Kale Jupiter XXXVII,15000057944933,3581
MB:538,Pasithee Jupiter XXXVIII,8377580533333,2000
MB:539,Hegemone Jupiter XXXIX -,28274334300000,2000
MB:540,Mneme Jupiter XL,8377580533333,2000
MB:541,Aoede Jupiter XLI -,67020644266667,2000
MB:542,Thelxinoe Jupiter XLII,8377580533333,2000
MB:543,Arche Jupiter XLIII -,28274334300000,2000
MB:544,Kallichore Jupiter XLIV,8377580533333,2000
MB:545,Helike Jupiter XLV -,67020644266667,2000
MB:546,Carpo Jupiter XLVI -,450000167551650,2000
MB:547,Eukelade Jupiter XLVII -,67020644266667,2000
MB:548,Cyllene Jupiter XLVIII,8377580533333,2000
MB:549,Kore Jupiter XLIX,8377580533333,2000
MB:550,Herse Jupiter L,8377580533333,2000
MB:599,Jupiter,1898600000000000000000000000,1327
MB:601,Mimas,37497183353585100000,1148
MB:602,Enceladus,107984941376280000000,1609
MB:603,Tethys,617139128764723000000,973
MB:604,Dione,1095848224687240000000,1477
MB:605,Rhea,2317186021451540000000,1240
MB:606,Titan,134520000000000000000000,1878
MB:607,Hyperion Saturn VII,5575543215121350000,541
MB:608,Iapetus,1974083323841780000000,1184
MB:609,Phoebe Saturn IX,8291102457566770000,1634
MB:610,Janus Saturn X,1912502582498280000,639
MB:611,Epimetheus Saturn XI,530667629901530000,695
MB:612,Helene Saturn XII Dione B,25005799138107400,1095
MB:613,Telesto Saturn XIII or Tethys B,13764632898843700,2000
MB:614,Calypso Saturn XIV or Tethys C,10262896389296300,2000
MB:615,Atlas Saturn XV,65995886983558800,4399
MB:616,Prometheus,156616425155617000,467
MB:617,Pandora Saturn XVII,135554231992996000,480
MB:618,Pan Saturn XVIII,4953403429791210,413
MB:619,Ymir Saturn XIX,6107256208800000,2000
MB:620,Paaliaq Saturn XX -,8201236651896930,1471
MB:621,Tarvos Saturn XXI,3534291787500000,2000
MB:622,Ijiraq Saturn XXII -,1809557395200000,2000
MB:623,Suttungr Saturn XXIII -,359188765366667,2000
MB:624,Kiviuq Saturn XXIV -,4289321233066670,2000
MB:625,Mundilfari Saturn XXV -,359188765366667,2000
MB:626,Albiorix Saturn XXVI,34314569864533300,2000
MB:627,Skathi Saturn XXVII -,274516558916267,2000
MB:628,Erriapus Saturn XXVIII -,1047197566666670,2000
MB:629,Siarnaq Saturn XXIX,67020644266666700,2000
MB:630,Thrymr Saturn XXX,183904647867733,2000
MB:631,Narvi Saturn XXXI -,301065111626400,2000
MB:632,Methone Saturn XXXII,18993114420019,1107
MB:633,Pallene Saturn XXXIII,42993743297067,1283
MB:634,Polydeuces Saturn XXXIV Dione C,29992261908117,1336
MB:635,Daphnis Saturn XXXV,83984499241999,338
MB:636,Aegir Saturn XXXVI -,226194674400000,2000
MB:637,Bebhionn Saturn XXXVII -,226194674400000,2000
MB:638,Bergelmir Saturn XXXVIII,226194674400000,2000
MB:639,Bestla Saturn XXXIX -,2873510122933330,2000
MB:640,Farbauti Saturn XL -,130899695833333,2000
MB:641,Fenrir Saturn XLI -,67020644266667,2000
MB:642,Fornjot Saturn XLII -,226194674400000,2000
MB:643,Hati Saturn XLIII -,226194674400000,2000
MB:645,Kari Saturn XLV -,359188765366667,2000
MB:646,Loge Saturn XLVI -,226194674400000,2000
MB:647,Skoll Saturn XLVII -,226194674400000,2000
MB:648,Surtur Saturn XLVIII -,226194674400000,2000
MB:649,Anthe Saturn XLIX -,8377580533333,2000
MB:650,Jarnsaxa Saturn L -,226194674400000,2000
MB:651,Greip Saturn LI -,226194674400000,2000
MB:652,Tarqeq Saturn LII -,359188765366667,2000
MB:653,Aegaeon Saturn LIII,130899695833,2000
MB:699,Saturn,568460000000000000000000000,687
MB:701,Ariel,1353048930271030000000,1665
MB:702,Umbriel,1199869703543790000000,1433
MB:703,Titania,3525050162312760000000,1714
MB:704,Oberon,3013802838366660000000,1630
MB:705,Miranda,65902405044947500000,1200
MB:706,Cordelia,44016049790199000,1294
MB:707,Ophelia,52997596954325900,1291
MB:708,Bianca Uranus VIII,92007294861102400,1294
MB:709,Cressida Uranus IX,339872776077495000,1287
MB:710,Desdemona Uranus X,179945604369613000,1311
MB:711,Juliet Uranus XI,559891360816532000,1304
MB:712,Portia Uranus XII,1700294181987350000,1314
MB:713,Rosalind,249957782113766000,1279
MB:714,Belinda Uranus XIV,360034901000533000,1343
MB:715,Puck Uranus XV ,2900601639204200000,1303
MB:716,Caliban Uranus XVI,390864397363200000,2000
MB:717,Sycorax Uranus XVII,2300823953662500000,1302
MB:718,Prospero Uranus XVIII,85019352443750000,1299
MB:719,Setebos Uranus XIX,74988058457088000,1295
MB:720,Stephano Uranus XX,21995639283165900,1282
MB:721,Trinculo Uranus XXI -,3899483089318800,1277
MB:722,Francisco Uranus XXII -,7197686279808930,1291
MB:723,Margaret Uranus XXIII -,5399350653733330,1289
MB:724,Ferdinand Uranus XXIV -,5399350653733330,1289
MB:725,Perdita Uranus XXV,13006193778000000,920
MB:726,Mab Uranus XXVI,1047197566666670,2000
